case,input_y_mm,output_x_mm,output_y_mm,bar_error_mm,ground_error_mm,drive_error_mm,branch_error_mm,inverse_error_mm2,collinearity_error_mm2,output_error_mm,straight_error_mm
broken,-18,90.0484101346553,-24.49300324414738,1.7053025658242404e-13,0.0,0.0,1.4210854715202004e-14,7.275957614183426e-12,1.000444171950221e-11,1.7350196581950825e-13,1.3801612939161316
broken,-17,90.05974413932421,-22.94231653808807,1.2789769243681803e-13,1e-20,0.0,0.0,2.7284841053187847e-12,6.821210263296962e-12,1.0545038321407553e-13,1.3688272892472213
broken,-16,90.07008639809841,-21.429623015912547,8.526512829121202e-14,0.0,0.0,0.0,9.094947017729282e-13,4.092726157978177e-12,6.355287432313019e-14,1.3584850304730196
broken,-15,90.07951520952402,-19.95083140844804,6.394884621840902e-14,1e-20,0.0,0.0,9.094947017729282e-13,3.410605131648481e-12,5.123796534383003e-14,1.3490562190474122
broken,-14,90.08809761277486,-18.502314640572845,4.263256414560601e-14,1e-20,0.0,0.0,9.094947017729282e-13,2.9558577807620168e-12,5.54951617168815e-14,1.340473815796571
broken,-13,90.09589122291798,-17.080830804854205,4.263256414560601e-14,1e-20,0.0,0.0,0.0,1.1368683772161603e-12,2.0097183471152322e-14,1.3326802056534461
broken,-12,90.10294568680398,-15.683459480066269,3.552713678800501e-14,0.0,0.0,1.4210854715202004e-14,3.637978807091713e-12,1.5916157281026244e-12,3.552713678800501e-14,1.3256257417674533
broken,-11,90.10930384788995,-14.30754981865813,2.1316282072803006e-14,0.0,0.0,0.0,9.094947017729282e-13,1.2505552149377763e-12,3.552713678800501e-14,1.3192675806814833
broken,-10,90.11500268484933,-12.950677755006916,1.4210854715202004e-14,0.0,0.0,0.0,1.8189894035458565e-12,4.547473508864641e-13,2.847716647714797e-14,1.3135687437221009
broken,-9,90.12007407218933,-11.61061034536226,1.4210854715202004e-14,0.0,0.0,0.0,1.8189894035458565e-12,6.821210263296962e-13,1.0658141036401503e-14,1.3084973563821052
broken,-8,90.12454539912919,-10.285275725178304,2.842170943040401e-14,0.0,0.0,1.4210854715202004e-14,0.0,2.2737367544323206e-13,1.5888218580782548e-14,1.304026029442241
broken,-7,90.12844007423932,-8.97273751581312,7.105427357601002e-15,0.0,0.0,0.0,0.0,3.410605131648481e-13,3.552713678800501e-15,1.300131354332109
broken,-6,90.13177793686542,-7.67117276783854,7.105427357601002e-15,0.0,0.0,0.0,2.7284841053187847e-12,1.1368683772161603e-13,2.8435583831733384e-14,1.296793491706012
broken,-5,90.13457559148888,-6.378852718012434,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,9.094947017729282e-13,2.2737367544323206e-13,2.909377512977897e-14,1.293995837082548
broken,-4,90.1368466774664,-5.094125779005886,1.4210854715202004e-14,0.0,0.0,0.0,1.8189894035458565e-12,1.1368683772161603e-13,2.864289338439558e-14,1.2917247511050363
broken,-3,90.13860208371477,-3.8154022876043094,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,1.8189894035458565e-12,1.1368683772161603e-13,4.2863236558381085e-14,1.289969344856658
broken,-2,90.13985011564735,-2.5411406170334163,7.105427357601002e-15,0.0,0.0,1.4210854715202004e-14,9.094947017729282e-13,5.968558980384842e-13,7.993605777301127e-15,1.288721312924082
broken,-1,90.1405966198424,-1.2698343184652374,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.0,2.7000623958883807e-13,2.8616200366680173e-14,1.2879748087290324
broken,0,90.14084507042254,4.07316e-15,1.4210854715202004e-14,0.0,0.0,0.0,9.094947017729282e-13,2.8919436000000003e-13,1.4783065450784522e-14,1.2877263581488876
broken,1,90.14059661984241,1.2698343184652323,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,9.094947017729282e-13,9.947598300641403e-14,1.432144669219779e-14,1.2879748087290182
broken,2,90.13985011564735,2.5411406170334065,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,9.094947017729282e-13,8.526512829121202e-14,1.7763568394002505e-15,1.288721312924082
broken,3,90.13860208371472,3.8154022876043028,1.4210854715202004e-14,0.0,0.0,0.0,9.094947017729282e-13,1.1368683772161603e-13,1.4383281002407285e-14,1.2899693448567149
broken,4,90.1368466774664,5.094125779005889,1.4210854715202004e-14,0.0,0.0,0.0,1.8189894035458565e-12,3.979039320256561e-13,2.929642751054232e-14,1.2917247511050363
broken,5,90.13457559148888,6.378852718012434,1.4210854715202004e-14,0.0,0.0,0.0,2.7284841053187847e-12,3.410605131648481e-13,2.909377512977897e-14,1.293995837082548
broken,6,90.13177793686539,7.671172767838534,1.4210854715202004e-14,0.0,0.0,0.0,9.094947017729282e-13,3.410605131648481e-13,4.440892098500626e-15,1.2967934917060404
broken,7,90.12844007423932,8.972737515813122,7.105427357601002e-15,0.0,0.0,0.0,0.0,2.2737367544323206e-13,1.7763568394002505e-15,1.300131354332109
broken,8,90.12454539912922,10.285275725178298,2.1316282072803006e-14,0.0,0.0,1.4210854715202004e-14,1.8189894035458565e-12,3.410605131648481e-13,4.266955553143359e-14,1.3040260294422126
